Persona,TargetClearRate,ActualClearRate,ErrorRate,Cooldown,Entropy,Weight1,Weight2,Weight3,Weight4
Beginner,0.5,0.27,0.23,2.595493,1.985515,0.25,0.24,0.31,0.21
Beginner,0.5,0.37,0.13,2.906146,1.974269,0.3,0.27,0.18,0.25
Beginner,0.5,0.14,0.36,2.113178,1.954454,0.21,0.33,0.17,0.28
Beginner,0.5,0.25,0.25,2.535184,1.953275,0.29,0.32,0.22,0.16
Beginner,0.5,0.2,0.3,2.394595,1.965883,0.34,0.22,0.19,0.25
Beginner,0.5,0.26,0.24,2.984417,1.604386,0.33,0.01,0.27,0.4
Beginner,0.5,0.19,0.31,2.364922,1.542158,0.19,0.47,0.01,0.33
Beginner,0.5,0.17,0.33,1.781159,1.879839,0.4,0.28,0.12,0.21
Beginner,0.5,0.36,0.14,2.658916,1.715093,0.26,0.51,0.12,0.11
Beginner,0.5,0.11,0.39,1.826881,1.956504,0.29,0.18,0.2,0.33
Beginner,0.5,0.13,0.37,1.967716,1.918152,0.37,0.23,0.26,0.14
Beginner,0.5,0.17,0.33,2.634421,1.937676,0.36,0.18,0.28,0.18
Beginner,0.5,0.17,0.33,2.239077,1.79582,0.32,0.34,0.29,0.05
Beginner,0.5,0.09,0.41,2.517076,1.348974,0.1,0.21,0.66,0.03
Beginner,0.5,0.05,0.45,1.935573,1.937334,0.34,0.14,0.26,0.27
Beginner,0.5,0.11,0.39,2.226891,1.863734,0.15,0.37,0.13,0.34
Beginner,0.5,0.13,0.37,3,1.890442,0.34,0.32,0.11,0.24
Beginner,0.5,0.26,0.24,2.48668,1.840707,0.37,0.36,0.15,0.12
Beginner,0.5,0.03,0.47,2.21714,1.985446,0.23,0.22,0.31,0.23
Beginner,0.5,0.19,0.31,2.517953,1.90825,0.25,0.36,0.28,0.12
Beginner,0.5,0.17,0.33,2.611382,1.742872,0.48,0.28,0.09,0.15
Beginner,0.5,0.05,0.45,1.782256,1.923922,0.25,0.34,0.13,0.29
Beginner,0.5,0.1,0.4,2.93035,1.58097,0.08,0.4,0.06,0.46
Beginner,0.5,0.06,0.44,2.249973,1.962214,0.3,0.21,0.18,0.31
Beginner,0.5,0.14,0.36,2.265156,1.975687,0.32,0.26,0.2,0.22
Beginner,0.5,0.05,0.45,2.466181,1.84237,0.39,0.15,0.13,0.34
Beginner,0.5,0.07,0.43,2.198298,1.929928,0.15,0.21,0.3,0.34
Beginner,0.5,0.09,0.41,2.450278,1.933054,0.32,0.28,0.26,0.13
Beginner,0.5,0.11,0.39,2.109699,1.966602,0.24,0.25,0.33,0.18
Beginner,0.5,0.12,0.38,3,1.983885,0.21,0.31,0.24,0.24
Beginner,0.5,0.24,0.26,2.701791,1.986813,0.24,0.3,0.25,0.21
Beginner,0.5,0.12,0.38,1.946874,1.961331,0.23,0.28,0.32,0.17
Beginner,0.5,0.24,0.26,2.24542,1.969215,0.33,0.27,0.2,0.2
Beginner,0.5,0.1,0.4,2.034165,1.955196,0.24,0.26,0.16,0.34
Beginner,0.5,0.18,0.32,2.21087,1.806928,0.32,0.29,0.06,0.34
Beginner,0.5,0.27,0.23,2.052851,1.598119,0.26,0.51,0.02,0.2
Beginner,0.5,0.12,0.38,1.774813,1.96536,0.3,0.17,0.24,0.29
Beginner,0.5,0.14,0.36,2.395405,1.980707,0.32,0.24,0.25,0.2
Beginner,0.5,0.09,0.41,2.110288,1.985412,0.2,0.28,0.24,0.28
Beginner,0.5,0.14,0.36,2.352264,1.934381,0.36,0.18,0.18,0.27
Expert,0.5,0,0.5,0.9525823,1.98603,0.26,0.2,0.3,0.24
Expert,0.5,0.01,0.49,1.526188,1.984305,0.28,0.26,0.19,0.28
Expert,0.5,0.01,0.49,1.001045,1.954269,0.17,0.29,0.22,0.33
Expert,0.5,0,0.5,1.130674,1.98643,0.29,0.27,0.25,0.2
Expert,0.5,0,0.5,1.294513,1.972803,0.31,0.19,0.22,0.28
Expert,0.5,0.03,0.47,1.705696,1.593087,0.29,0,0.27,0.43
Expert,0.5,0,0.5,1.041506,1.540655,0.18,0.46,0.01,0.35
Expert,0.5,0,0.5,0.5362831,1.954214,0.34,0.19,0.19,0.28
Expert,0.5,0.01,0.49,1.354181,1.824045,0.26,0.46,0.14,0.15
Expert,0.5,0.29,0.21,1.231341,1.957244,0.36,0.22,0.21,0.21
Expert,0.5,0.03,0.47,0.7928945,1.890227,0.12,0.22,0.31,0.36
Expert,0.5,0.02,0.48,0.6698235,1.987592,0.29,0.22,0.27,0.21
Expert,0.5,0.05,0.45,0.8001639,1.89324,0.42,0.19,0.16,0.23
Expert,0.5,0.06,0.44,0.8417197,1.976544,0.22,0.32,0.2,0.26
Expert,0.5,0.07,0.43,0.7251214,1.960372,0.26,0.32,0.16,0.25
Expert,0.5,0,0.5,0.6658518,1.914907,0.31,0.2,0.35,0.14
Expert,0.5,0.03,0.47,0.9023865,1.943243,0.34,0.23,0.28,0.15
Expert,0.5,0.07,0.43,0.8958872,1.951413,0.15,0.31,0.26,0.27
Expert,0.5,0.06,0.44,0.8185807,1.970525,0.26,0.2,0.21,0.33
Expert,0.5,0.26,0.24,0.8095338,1.874697,0.33,0.21,0.1,0.35
Expert,0.5,0,0.5,0.1945836,1.950477,0.2,0.19,0.36,0.25
Expert,0.5,0.18,0.32,1.148002,1.944131,0.31,0.14,0.3,0.24
Expert,0.5,0.07,0.43,0.910726,1.767614,0.39,0.27,0.29,0.05
Expert,0.5,0.03,0.47,0.6738749,1.932999,0.33,0.29,0.14,0.24
Expert,0.5,0.03,0.47,0.6423399,1.994653,0.26,0.28,0.22,0.24
Expert,0.5,0.87,0.37,1.473428,1.984999,0.31,0.24,0.22,0.23
Expert,0.5,0.08,0.42,0.9179158,1.904313,0.24,0.38,0.25,0.13
Expert,0.5,0.1,0.4,1.13005,1.960392,0.21,0.29,0.33,0.18
Expert,0.5,0.07,0.43,0.7175022,1.932068,0.32,0.13,0.24,0.31
Intermediate,0.5,0.66,0.16,1.40411,1.876569,0.37,0.34,0.15,0.15
Intermediate,0.5,0.13,0.37,0.8375428,1.878103,0.26,0.25,0.38,0.11
Intermediate,0.5,0.6,0.1,1.628765,1.907531,0.41,0.17,0.22,0.2
Intermediate,0.5,0.73,0.23,1.809977,1.991367,0.29,0.26,0.23,0.22
Intermediate,0.5,0.05,0.45,0.6735471,1.97033,0.31,0.2,0.2,0.29
Intermediate,0.5,0.19,0.31,0.8165208,1.955024,0.2,0.18,0.34,0.27
Intermediate,0.5,0.1,0.4,0.8240658,1.989798,0.29,0.21,0.26,0.25
Intermediate,0.5,0.09,0.41,0.8472226,1.959903,0.29,0.18,0.32,0.2
Intermediate,0.5,0.06,0.44,0.9281771,1.899246,0.41,0.2,0.23,0.16
Intermediate,0.5,0.08,0.42,0.9797531,1.993779,0.24,0.29,0.24,0.23
Intermediate,0.5,0,0.5,0.7005038,1.934506,0.35,0.3,0.17,0.18
Intermediate,0.5,0.03,0.47,1.01664,1.981246,0.24,0.19,0.28,0.29
Intermediate,0.5,0.04,0.46,1.130674,1.920864,0.14,0.26,0.24,0.37
Intermediate,0.5,0,0.5,1.111248,1.958421,0.2,0.2,0.25,0.35
Intermediate,0.5,0.06,0.44,1.187618,1.941653,0.35,0.19,0.17,0.29
Intermediate,0.5,0,0.5,1.031116,1.946563,0.26,0.21,0.17,0.36
Intermediate,0.5,0.02,0.48,1.007792,1.979843,0.31,0.22,0.2,0.27
Intermediate,0.5,0.02,0.48,1.050536,1.95859,0.22,0.32,0.17,0.29
Intermediate,0.5,0,0.5,1.031067,1.89079,0.24,0.11,0.3,0.35
Intermediate,0.5,0.01,0.49,0.9486434,1.712121,0.5,0.07,0.19,0.24
Intermediate,0.5,0.54,0.04000002,1.378203,1.922557,0.34,0.23,0.3,0.13
