TargetClearRate,ActualClearRate,ErrorRate,Cooldown,Entropy,Weight1,Weight2,Weight3,Weight4
0.2,0.91,0.71,3,1.981927,0.28,0.20,0.29,0.22
0.2,0,0.2,0.4836406,1.954546,0.33,0.16,0.26,0.25
0.2,0.09,0.11,0.8613514,1.945774,0.26,0.16,0.23,0.35
0.2,0.3,0.1,1.086377,1.953904,0.35,0.17,0.26,0.22
0.2,0.13,0.07000001,0.9140415,1.817161,0.39,0.07,0.24,0.30
0.2,0.53,0.33,1.319162,1.594441,0.33,0.00,0.26,0.41
0.2,0,0.2,0.3515312,1.817336,0.24,0.28,0.08,0.41
0.2,0,0.2,0.4658502,1.794634,0.44,0.08,0.20,0.29
0.2,0.43,0.23,1.10873,1.927464,0.33,0.31,0.14,0.22
0.2,0,0.2,0.4479724,1.698564,0.31,0.02,0.29,0.37
0.2,0.96,0.76,3,1.801988,0.40,0.35,0.10,0.15
0.2,0,0.2,0.1,1.794456,0.31,0.13,0.44,0.12
0.2,0.79,0.59,1.317984,1.584412,0.59,0.07,0.17,0.17
0.2,0.16,0.04000001,0.7417086,1.928425,0.32,0.13,0.24,0.31
0.2,0,0.2,0.224763,1.80772,0.38,0.08,0.20,0.35
0.2,0,0.2,0.4574248,1.771168,0.26,0.05,0.32,0.37
0.2,0.22,0.02,0.6954156,1.92118,0.33,0.13,0.23,0.31
0.2,0,0.2,0.3811414,1.806233,0.36,0.06,0.29,0.30
0.2,0.04,0.16,0.5497997,1.58234,0.55,0.03,0.19,0.23
0.2,0,0.2,0.3962577,1.952202,0.32,0.16,0.22,0.30
