TargetClearRate,ActualClearRate,ErrorRate,Cooldown,Entropy,Weight1,Weight2,Weight3,Weight4
0.5,0.02,0.48,0.8882806,1.490483,0.36,0.01,0.48,0.15
0.5,0.61,0.11,1.335838,1.84139,0.38,0.08,0.31,0.23
0.5,0.23,0.27,1.079914,1.958711,0.24,0.16,0.27,0.33
0.5,0.61,0.11,1.212777,1.954762,0.32,0.2,0.3,0.18
0.5,0.74,0.24,1.372071,1.911294,0.36,0.12,0.25,0.27
0.5,0.69,0.19,1.592511,1.60803,0.32,0,0.29,0.38
0.5,0.12,0.38,0.8906816,1.803941,0.36,0.07,0.23,0.35
0.5,0.07,0.43,0.7820235,1.789831,0.39,0.06,0.3,0.25
0.5,0.67,0.17,1.286206,1.947122,0.35,0.24,0.25,0.16
0.5,0.07,0.43,0.9485825,1.670814,0.32,0.01,0.32,0.35
0.5,0.16,0.34,1.037986,1.731636,0.47,0.12,0.31,0.1
0.5,0.03,0.47,0.8882806,1.490483,0.36,0.01,0.48,0.15
0.5,0.69,0.19,1.336649,1.841444,0.38,0.08,0.31,0.23
0.5,0.16,0.34,1.045151,1.948799,0.25,0.15,0.27,0.33
0.5,0.6,0.1,1.212319,1.952371,0.32,0.19,0.31,0.18
0.5,0.79,0.29,1.371778,1.912675,0.36,0.12,0.25,0.27
0.5,0.6,0.1,1.566504,1.608417,0.33,0,0.29,0.38
0.5,0.06,0.44,0.9023798,1.826283,0.35,0.07,0.23,0.35
0.5,0.07,0.43,0.7906651,1.812429,0.39,0.07,0.3,0.25
0.5,0.75,0.25,1.296336,1.949268,0.34,0.25,0.25,0.16
0.5,0.03,0.47,0.8990418,1.625172,0.33,0.01,0.32,0.34
0.5,0.2,0.3,1.037986,1.731636,0.47,0.12,0.31,0.1
0.5,0.06,0.44,0.8227136,1.481133,0.38,0.03,0.51,0.08
0.5,0.54,0.04000002,1.227992,1.506196,0.49,0,0.34,0.17
0.5,0.68,0.18,1.486687,1.643031,0.42,0.01,0.31,0.25
0.5,0.01,0.49,0.5691759,1.603515,0.39,0,0.28,0.32
0.5,0.09,0.41,0.6762488,1.608648,0.35,0,0.35,0.3
0.5,0.09,0.41,0.6544974,1.60238,0.36,0,0.36,0.27
0.5,0.1,0.4,0.674767,1.579821,0.38,0,0.38,0.23
0.5,0.22,0.28,0.698061,1.503733,0.46,0,0.38,0.16
0.5,0.16,0.34,0.729867,1.773459,0.39,0.06,0.34,0.22
0.5,0.23,0.27,1.116162,1.464468,0.46,0.01,0.41,0.13
0.5,0.01,0.49,0.7897582,1.601919,0.28,0.01,0.41,0.3
0.5,0.15,0.35,0.7378326,1.865057,0.34,0.1,0.35,0.21
0.5,0.04,0.46,0.7730039,1.528531,0.5,0.01,0.3,0.2
0.5,0.09,0.41,0.8322804,1.868343,0.36,0.1,0.33,0.21
0.5,0.15,0.35,0.9262984,1.986616,0.31,0.25,0.22,0.23
0.5,0.04,0.46,0.9211226,1.622528,0.41,0.09,0.44,0.07
0.5,0.02,0.48,0.858444,1.404415,0.5,0.03,0.42,0.06
,,,,,0.372564103,0.072820513,0.327179487,0.228205128
