TargetClearRate,ActualClearRate,ErrorRate,Cooldown,Entropy,Weight1,Weight2,Weight3,Weight4
0.8,0.21,0.59,0.6761346,1.420827,0.44,0.00,0.44,0.11
0.8,0.01,0.79,0.8967095,1.554504,0.40,0.00,0.40,0.20
0.8,0.07,0.73,0.5861165,1.599049,0.37,0.00,0.37,0.27
0.8,0.19,0.61,0.6718034,1.548828,0.40,0.00,0.40,0.19
0.8,0.02,0.78,0.803607,1.585016,0.38,0.00,0.38,0.24
0.8,0.13,0.67,1.103219,1.611173,0.34,0.00,0.34,0.31
0.8,0.02,0.78,0.5674383,1.593205,0.37,0.00,0.37,0.25
0.8,0,0.8,0.2364527,1.581092,0.38,0.00,0.38,0.23
0.8,0.27,0.53,0.7234221,1.495468,0.42,0.00,0.42,0.15
0.8,0,0.8,0.4934722,1.602039,0.36,0.00,0.36,0.27
0.8,0.02,0.78,0.8258399,1.33906,0.46,0.00,0.46,0.07
0.8,0,0.8,0.3269289,1.36,0.46,0.00,0.46,0.08
0.8,0.17,0.63,0.7060518,1.479146,0.43,0.00,0.43,0.14
0.8,0.07,0.73,1.037847,1.5665,0.39,0.00,0.39,0.21
0.8,0,0.8,0.2373603,1.603405,0.36,0.00,0.36,0.28
0.8,0,0.8,0.1864101,1.606598,0.35,0.00,0.35,0.29
0.8,0,0.8,0.1584572,1.598616,0.37,0.00,0.37,0.26
0.8,0,0.8,0.1533982,1.570573,0.39,0.00,0.39,0.22
0.8,0,0.8,0.1479478,1.458175,0.43,0.00,0.43,0.13
0.8,0,0.8,0.136061,1.552095,0.40,0.00,0.40,0.20
0.8,0.05,0.75,0.9040157,1.385092,0.45,0.00,0.45,0.09
0.8,0,0.8,0.3446047,1.565786,0.39,0.00,0.39,0.21
0.8,0,0.8,0.2337754,1.560199,0.39,0.00,0.39,0.21
0.8,0,0.8,0.2627024,1.521085,0.41,0.00,0.41,0.17
0.8,0,0.8,0.2438947,1.531422,0.41,0.00,0.41,0.18
0.8,0,0.8,0.2276174,1.573644,0.39,0.00,0.39,0.22
0.8,0,0.8,0.2246491,1.403943,0.45,0.00,0.45,0.10
0.8,0,0.8,0.2729627,1.33625,0.46,0.00,0.46,0.07
0.8,0,0.8,0.2449459,1.50775,0.42,0.00,0.42,0.16
0.8,0,0.8,0.278913,1.567515,0.39,0.00,0.39,0.21
0.8,0,0.8,0.2686988,1.343026,0.46,0.00,0.46,0.07
0.8,0,0.8,0.2132263,1.580675,0.38,0.00,0.38,0.23
0.8,0,0.8,0.3000157,1.610631,0.34,0.00,0.34,0.31
0.8,0.01,0.79,0.3266549,1.568969,0.39,0.00,0.39,0.22
0.8,0,0.8,0.3880997,1.586176,0.38,0.00,0.38,0.24
0.8,0,0.8,0.2894942,1.604895,0.36,0.00,0.36,0.28
0.8,0,0.8,0.2564476,1.57261,0.39,0.00,0.39,0.22
0.8,0,0.8,0.2638123,1.597748,0.37,0.00,0.37,0.26
0.8,0,0.8,0.2823525,1.611894,0.33,0.00,0.33,0.33
0.8,0,0.8,0.1559889,1.5558,0.40,0.00,0.40,0.20
0.8,0.09,0.71,0.7860783,1.394065,0.45,0.00,0.45,0.09
0.8,0,0.8,0.3234076,1.589476,0.37,0.00,0.37,0.25
0.8,0,0.8,0.2536262,1.599145,0.37,0.00,0.37,0.27
0.8,0,0.8,0.1822721,1.547906,0.40,0.00,0.40,0.19
0.8,0,0.8,0.1473906,1.512295,0.42,0.00,0.42,0.16
0.8,0,0.8,0.1211864,1.437308,0.44,0.00,0.44,0.12
0.8,0,0.8,0.1,1.593649,0.37,0.00,0.37,0.25
0.8,0,0.8,0.4951724,1.51348,0.42,0.00,0.42,0.16
0.8,0,0.8,0.1,1.559147,0.40,0.00,0.40,0.21
